bus,Plant_type,Gen,isa_slack,Gov,Exc
30,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
31,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,true,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
32,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
33,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
34,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
35,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
36,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
37,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
38,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
39,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
