bus,sym_gen_type,sym_gen_dynamic_para
30,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
31,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
32,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
33,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
34,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
35,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
36,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
37,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
38,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
39,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
