bus,sym_gen_type,sym_gen_dynamic_para
124,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
150,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
221,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
338,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
352,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
413,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
453,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
516,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
564,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
583,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
615,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
616,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
639,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
682,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
749,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
757,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
776,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
778,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
795,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
803,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
823,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
851,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
858,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
891,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
972,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1001,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1002,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1043,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1083,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1093,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1100,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1102,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1237,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1251,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1295,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1341,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1354,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1422,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1436,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1478,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1604,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1642,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1680,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1708,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1721,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1754,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1794,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1808,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1851,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1852,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1888,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1914,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
1959,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2035,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2050,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2085,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2177,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2197,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2276,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2291,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2359,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2421,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2425,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2426,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2446,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2468,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2481,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2489,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2550,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
2600,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
