bus,Plant_type,Gen,isa_slack,Gov,Exc
1,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
4,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
6,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
8,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
10,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
12,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
15,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
18,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
19,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
24,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
25,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
26,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
27,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
31,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
32,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
34,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
36,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
