idx,branch_type
1,PiModelLine
2,PiModelLine
3,PiModelLine
4,PiModelLine
5,PiModelLine
6,PiModelLine
7,PiModelLine
8,PiModelLine
9,PiModelLine
10,PiModelLine
11,PiModelLine
12,PiModelLine
13,PiModelLine
14,PiModelLine
15,PiModelLine
16,PiModelLine
17,PiModelLine
18,PiModelLine
19,Transformer
20,Transformer
21,PiModelLine
22,PiModelLine
23,PiModelLine
24,PiModelLine
25,PiModelLine
26,PiModelLine
27,PiModelLine
28,PiModelLine
29,PiModelLine
30,PiModelLine
31,Transformer
32,PiModelLine
33,PiModelLine
34,PiModelLine
35,Transformer
36,Transformer
37,Transformer
38,PiModelLine
39,PiModelLine
40,PiModelLine
41,Transformer
42,PiModelLine
43,PiModelLine
44,PiModelLine
45,PiModelLine
46,Transformer
47,PiModelLine
48,PiModelLine
49,PiModelLine
50,PiModelLine
51,PiModelLine
52,PiModelLine
53,PiModelLine
54,Transformer
55,PiModelLine
56,PiModelLine
57,PiModelLine
58,Transformer
59,Transformer
60,PiModelLine
61,PiModelLine
62,PiModelLine
63,PiModelLine
64,PiModelLine
65,Transformer
66,Transformer
67,PiModelLine
68,PiModelLine
69,PiModelLine
70,PiModelLine
71,Transformer
72,PiModelLine
73,Transformer
74,PiModelLine
75,PiModelLine
76,Transformer
77,PiModelLine
78,PiModelLine
79,PiModelLine
80,Transformer
