bus,sym_gen_type,sym_gen_dynamic_para
8,SC_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
10,SC_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
20,SC_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
63,SC_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
76,SC_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
84,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
91,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
92,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
98,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
108,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
119,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
124,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
125,SC_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
138,SC_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
141,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
143,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
146,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
147,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
149,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
152,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
153,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
156,SC_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
170,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
171,SC_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
176,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
177,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
185,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
186,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
187,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
190,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
191,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
198,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
213,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
220,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
221,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
222,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
227,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
230,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
233,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
236,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
238,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
239,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
241,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
242,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
243,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
7001,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7002,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7003,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7011,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7012,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7017,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7023,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7024,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7039,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7044,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7049,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7055,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7057,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7061,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7062,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7071,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7130,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7139,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
7166,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
9002,SC_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
9051,SC_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
9053,SC_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
9054,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
9055,SM_2axis_cb_v6,gen_dynamic_paras_ieee_14_b
