bus,Plant_type,Gen,isa_slack,Gov,Exc
8,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
10,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
20,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
63,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
76,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
84,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
91,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
92,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
98,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
108,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
119,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
124,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
125,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
138,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
141,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
143,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
146,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
147,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
149,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
152,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
153,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
156,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
170,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
171,plant_no_gov_wt_loc_load_v6,SC_2axis_wt_loc_load_cb_v6,false,nothing,avr_t1_cb_sauer__1_param
176,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
177,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
185,plant_cb_v6,SM_2axis_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
186,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
187,plant_wt_loc_load_v6,SM_2axis_wt_loc_load_cb_v6,false,gov_t1_cb_sauer__1_param,avr_t1_cb_sauer__1_param
